fromNode	toNode	weight	direction	fromAltName	toAltName
AIF1L	ALDH8A1	0.0888829757074339	undirected	AIF1L	ALDH8A1
AIF1L	ANKRD34A	0.0562039988583415	undirected	AIF1L	ANKRD34A
AIF1L	ARHGAP29	0.13829207568735	undirected	AIF1L	ARHGAP29
AIF1L	BCHE	0.164459800325399	undirected	AIF1L	BCHE
AIF1L	C10orf90	0.227677459818418	undirected	AIF1L	C10orf90
AIF1L	C11orf65	0.0262507485800563	undirected	AIF1L	C11orf65
AIF1L	CASC11	0.0522166617557832	undirected	AIF1L	NA
AIF1L	CDH19	0.0335562492776803	undirected	AIF1L	CDH19
AIF1L	CHRM3	0.033910967261635	undirected	AIF1L	CHRM3
AIF1L	CTNND2	0.230629366066781	undirected	AIF1L	CTNND2
AIF1L	DDX4	0.0326783641551972	undirected	AIF1L	DDX4
AIF1L	DNAJC18	0.05276203964957	undirected	AIF1L	DNAJC18
AIF1L	GDA	0.0547826521705087	undirected	AIF1L	GDA
AIF1L	GOLM1	0.0403211744665046	undirected	AIF1L	GOLM1
AIF1L	GPR37L1	0.0224588193672091	undirected	AIF1L	GPR37L1
AIF1L	HHCM	0.201786203709447	undirected	AIF1L	NA
AIF1L	KRT17P5	0.0783679414080627	undirected	AIF1L	NA
AIF1L	MAGEE1	0.029034531275002	undirected	AIF1L	MAGEE1
AIF1L	MSRB3	0.211969538169487	undirected	AIF1L	MSRB3
AIF1L	NASP	0.208770253285944	undirected	AIF1L	NASP
AIF1L	NEMP1	0.131966130654347	undirected	AIF1L	NA
AIF1L	NKX6.2	0.0708876277329257	undirected	AIF1L	NA
AIF1L	NLRP9	0.117785278523631	undirected	AIF1L	NLRP9
AIF1L	NOL10	0.167077556140029	undirected	AIF1L	NOL10
AIF1L	OR2A14	0.127390923181944	undirected	AIF1L	OR2A14
AIF1L	OR51A7	0.162944275574491	undirected	AIF1L	OR51A7
AIF1L	PLEKHS1	0.0260214897650709	undirected	AIF1L	NA
AIF1L	RYR3	0.169549911065161	undirected	AIF1L	RYR3
AIF1L	SIK2	0.0299100791799226	undirected	AIF1L	SIK2
AIF1L	SLC26A10	0.0255191574171992	undirected	AIF1L	SLC26A10
AIF1L	SLC2A12	0.157696212675683	undirected	AIF1L	SLC2A12
AIF1L	SLC7A14	0.221250933780873	undirected	AIF1L	SLC7A14
AIF1L	SYNDIG1L	0.0203634747088212	undirected	AIF1L	NA
AIF1L	TGIF2LY	0.0346714787884839	undirected	AIF1L	TGIF2LY
AIF1L	TLL1	0.212494503311988	undirected	AIF1L	TLL1
AIF1L	TPBG	0.108958574572928	undirected	AIF1L	TPBG
AIF1L	ZACN	0.151431450959199	undirected	AIF1L	ZACN
AIF1L	ZBED9	0.060364283251905	undirected	AIF1L	NA
AIF1L	ZNF443	0.112046153085644	undirected	AIF1L	ZNF443
AIF1L	ZNF620	0.0230968661020563	undirected	AIF1L	ZNF620
ALDH1A3	BCHE	0.0281176533655174	undirected	ALDH1A3	BCHE
ALDH1A3	C10orf90	0.0308176978691996	undirected	ALDH1A3	C10orf90
ALDH1A3	CTNND2	0.0315127473881166	undirected	ALDH1A3	CTNND2
ALDH1A3	HHCM	0.0284691540208896	undirected	ALDH1A3	NA
ALDH1A3	MSRB3	0.0301566065045187	undirected	ALDH1A3	MSRB3
ALDH1A3	NASP	0.0261684982580005	undirected	ALDH1A3	NASP
ALDH1A3	NEMP1	0.0231438337076557	undirected	ALDH1A3	NA
ALDH1A3	NOL10	0.0239737013482779	undirected	ALDH1A3	NOL10
ALDH1A3	OR2A14	0.0361002395200605	undirected	ALDH1A3	OR2A14
ALDH1A3	OR51A7	0.0207773180482274	undirected	ALDH1A3	OR51A7
ALDH1A3	SLC2A12	0.0229407079407303	undirected	ALDH1A3	SLC2A12
ALDH1A3	SLC7A14	0.0328103694510683	undirected	ALDH1A3	SLC7A14
ALDH1A3	TLL1	0.0329412304105773	undirected	ALDH1A3	TLL1
ALDH1A3	TPBG	0.0216734434616458	undirected	ALDH1A3	TPBG
ALDH8A1	ANKRD34A	0.0629464058144784	undirected	ALDH8A1	ANKRD34A
ALDH8A1	ARHGAP29	0.15292232320448	undirected	ALDH8A1	ARHGAP29
ALDH8A1	ARSI	0.0224852647341076	undirected	ALDH8A1	ARSI
ALDH8A1	BCHE	0.161885267874386	undirected	ALDH8A1	BCHE
ALDH8A1	C10orf90	0.240262232923691	undirected	ALDH8A1	C10orf90
ALDH8A1	C11orf65	0.05198206594578	undirected	ALDH8A1	C11orf65
ALDH8A1	CASC11	0.0570178628113628	undirected	ALDH8A1	NA
ALDH8A1	CDH19	0.0410868896145709	undirected	ALDH8A1	CDH19
ALDH8A1	CHRM3	0.0435522827200393	undirected	ALDH8A1	CHRM3
ALDH8A1	CTNND2	0.239728443080113	undirected	ALDH8A1	CTNND2
ALDH8A1	DDX4	0.0484418979165897	undirected	ALDH8A1	DDX4
ALDH8A1	DNAJC18	0.0558912734940208	undirected	ALDH8A1	DNAJC18
ALDH8A1	DPP10	0.0214054471127295	undirected	ALDH8A1	DPP10
ALDH8A1	GDA	0.0582797327699531	undirected	ALDH8A1	GDA
ALDH8A1	GOLM1	0.0476266367383142	undirected	ALDH8A1	GOLM1
ALDH8A1	GPR37L1	0.0228002227098746	undirected	ALDH8A1	GPR37L1
ALDH8A1	HHCM	0.205632199728966	undirected	ALDH8A1	NA
ALDH8A1	IL17D	0.0328618390420901	undirected	ALDH8A1	IL17D
ALDH8A1	KRT17P5	0.0955415696693439	undirected	ALDH8A1	NA
ALDH8A1	MAGEE1	0.0564034932008523	undirected	ALDH8A1	MAGEE1
ALDH8A1	MSRB3	0.217113403227924	undirected	ALDH8A1	MSRB3
ALDH8A1	NASP	0.210416626253774	undirected	ALDH8A1	NASP
ALDH8A1	NEMP1	0.136973794032497	undirected	ALDH8A1	NA
ALDH8A1	NKX6.2	0.105604350149868	undirected	ALDH8A1	NA
ALDH8A1	NLRP9	0.127052563113029	undirected	ALDH8A1	NLRP9
ALDH8A1	NOL10	0.175536850787389	undirected	ALDH8A1	NOL10
ALDH8A1	OR2A14	0.128432030243297	undirected	ALDH8A1	OR2A14
ALDH8A1	OR51A7	0.161864890163024	undirected	ALDH8A1	OR51A7
ALDH8A1	PLEKHS1	0.0266749270332961	undirected	ALDH8A1	NA
ALDH8A1	RYR3	0.164510129054986	undirected	ALDH8A1	RYR3
ALDH8A1	SIK2	0.0306120441339983	undirected	ALDH8A1	SIK2
ALDH8A1	SLC26A10	0.0414712607341208	undirected	ALDH8A1	SLC26A10
ALDH8A1	SLC2A12	0.166449609387125	undirected	ALDH8A1	SLC2A12
ALDH8A1	SLC7A14	0.234403817841818	undirected	ALDH8A1	SLC7A14
ALDH8A1	SYNDIG1L	0.0245706501805604	undirected	ALDH8A1	NA
ALDH8A1	TGIF2LY	0.0425480015290189	undirected	ALDH8A1	TGIF2LY
ALDH8A1	TLL1	0.217359424354414	undirected	ALDH8A1	TLL1
ALDH8A1	TPBG	0.10970179090754	undirected	ALDH8A1	TPBG
ALDH8A1	ZACN	0.152844216790319	undirected	ALDH8A1	ZACN
ALDH8A1	ZBED9	0.0550075175434025	undirected	ALDH8A1	NA
ALDH8A1	ZNF443	0.103447274396284	undirected	ALDH8A1	ZNF443
ALDH8A1	ZNF620	0.0265667781773395	undirected	ALDH8A1	ZNF620
AMPD1	ARSI	0.0415449502162	undirected	AMPD1	ARSI
AMPD1	KRTAP12.2	0.059567348124977	undirected	AMPD1	NA
AMPD1	RGS20	0.0266837427720737	undirected	AMPD1	RGS20
ANKRD34A	ARHGAP1	0.0212229073817378	undirected	ANKRD34A	ARHGAP1
ANKRD34A	ARHGAP29	0.111308485732602	undirected	ANKRD34A	ARHGAP29
ANKRD34A	BCHE	0.134757233738519	undirected	ANKRD34A	BCHE
ANKRD34A	C10orf90	0.188891838117284	undirected	ANKRD34A	C10orf90
ANKRD34A	CASC11	0.0853587961254639	undirected	ANKRD34A	NA
ANKRD34A	CDH19	0.0231446299254601	undirected	ANKRD34A	CDH19
ANKRD34A	CHRM3	0.0449727978989655	undirected	ANKRD34A	CHRM3
ANKRD34A	CTNND2	0.189996393042079	undirected	ANKRD34A	CTNND2
ANKRD34A	DDX4	0.0217490759047105	undirected	ANKRD34A	DDX4
ANKRD34A	DNAJC18	0.0334322623205322	undirected	ANKRD34A	DNAJC18
ANKRD34A	GDA	0.0468478461716085	undirected	ANKRD34A	GDA
ANKRD34A	GOLM1	0.0833215456072568	undirected	ANKRD34A	GOLM1
ANKRD34A	GPR37L1	0.020305481001219	undirected	ANKRD34A	GPR37L1
ANKRD34A	HHCM	0.150782167457056	undirected	ANKRD34A	NA
ANKRD34A	KRT17P5	0.0410789328656694	undirected	ANKRD34A	NA
ANKRD34A	MAGEE1	0.0282287815425434	undirected	ANKRD34A	MAGEE1
ANKRD34A	MSRB3	0.178182750640118	undirected	ANKRD34A	MSRB3
ANKRD34A	NASP	0.155139655848957	undirected	ANKRD34A	NASP
ANKRD34A	NEMP1	0.165200412974232	undirected	ANKRD34A	NA
ANKRD34A	NKX6.2	0.0457136379141451	undirected	ANKRD34A	NA
ANKRD34A	NLRP9	0.116695503579061	undirected	ANKRD34A	NLRP9
ANKRD34A	NOL10	0.154279405017857	undirected	ANKRD34A	NOL10
ANKRD34A	OR2A14	0.12839980774554	undirected	ANKRD34A	OR2A14
ANKRD34A	OR51A7	0.110920538636385	undirected	ANKRD34A	OR51A7
ANKRD34A	PLEKHS1	0.0218726954414512	undirected	ANKRD34A	NA
ANKRD34A	RYR3	0.110663434778351	undirected	ANKRD34A	RYR3
ANKRD34A	SIK2	0.0393410488758608	undirected	ANKRD34A	SIK2
ANKRD34A	SLC26A10	0.0233851843123528	undirected	ANKRD34A	SLC26A10
ANKRD34A	SLC2A12	0.155263733555602	undirected	ANKRD34A	SLC2A12
ANKRD34A	SLC7A14	0.189536624050773	undirected	ANKRD34A	SLC7A14
ANKRD34A	TGIF2LY	0.0201169212675184	undirected	ANKRD34A	TGIF2LY
ANKRD34A	TLL1	0.176599166601133	undirected	ANKRD34A	TLL1
ANKRD34A	TPBG	0.129500435230555	undirected	ANKRD34A	TPBG
ANKRD34A	ZACN	0.099454894415842	undirected	ANKRD34A	ZACN
ANKRD34A	ZBED9	0.039485640809592	undirected	ANKRD34A	NA
ANKRD34A	ZNF443	0.122776346887494	undirected	ANKRD34A	ZNF443
ANKRD34A	ZNF620	0.0225001854238283	undirected	ANKRD34A	ZNF620
ARHGAP1	ARHGAP29	0.0340982692632699	undirected	ARHGAP1	ARHGAP29
ARHGAP1	BCHE	0.0459018736831399	undirected	ARHGAP1	BCHE
ARHGAP1	C10orf90	0.0506574001179314	undirected	ARHGAP1	C10orf90
ARHGAP1	CTNND2	0.0493998668957412	undirected	ARHGAP1	CTNND2
ARHGAP1	CYP4A11	0.0269168908487752	undirected	ARHGAP1	CYP4A11
ARHGAP1	GPR37L1	0.072966629401722	undirected	ARHGAP1	GPR37L1
ARHGAP1	HHCM	0.0400715778222716	undirected	ARHGAP1	NA
ARHGAP1	MAGEE1	0.0245423111790722	undirected	ARHGAP1	MAGEE1
ARHGAP1	MSRB3	0.0495495432760746	undirected	ARHGAP1	MSRB3
ARHGAP1	NASP	0.0388591329190114	undirected	ARHGAP1	NASP
ARHGAP1	NEMP1	0.047483665891938	undirected	ARHGAP1	NA
ARHGAP1	NLRP9	0.0314346027377882	undirected	ARHGAP1	NLRP9
ARHGAP1	NOL10	0.035960018359469	undirected	ARHGAP1	NOL10
ARHGAP1	OR2A14	0.0371485652089247	undirected	ARHGAP1	OR2A14
ARHGAP1	OR51A7	0.0326278152668099	undirected	ARHGAP1	OR51A7
ARHGAP1	RYR3	0.0279246907914111	undirected	ARHGAP1	RYR3
ARHGAP1	SLC2A12	0.048454772313857	undirected	ARHGAP1	SLC2A12
ARHGAP1	SLC7A14	0.050886575690285	undirected	ARHGAP1	SLC7A14
ARHGAP1	SYNDIG1L	0.0323879956075934	undirected	ARHGAP1	NA
ARHGAP1	TLL1	0.0472212676091405	undirected	ARHGAP1	TLL1
ARHGAP1	TPBG	0.0403376791613396	undirected	ARHGAP1	TPBG
ARHGAP1	ZACN	0.0243656856883369	undirected	ARHGAP1	ZACN
ARHGAP1	ZNF443	0.0264428976735926	undirected	ARHGAP1	ZNF443
ARHGAP29	BCHE	0.193918282796581	undirected	ARHGAP29	BCHE
ARHGAP29	C10orf90	0.277183314805847	undirected	ARHGAP29	C10orf90
ARHGAP29	C11orf65	0.0571059347197137	undirected	ARHGAP29	C11orf65
ARHGAP29	CASC11	0.096101166257213	undirected	ARHGAP29	NA
ARHGAP29	CDH19	0.0603339789100519	undirected	ARHGAP29	CDH19
ARHGAP29	CHRM3	0.0632108318792297	undirected	ARHGAP29	CHRM3
ARHGAP29	CTNND2	0.281711845732662	undirected	ARHGAP29	CTNND2
ARHGAP29	DDX4	0.0612620274821122	undirected	ARHGAP29	DDX4
ARHGAP29	DNAJC18	0.0906309950790352	undirected	ARHGAP29	DNAJC18
ARHGAP29	DPP10	0.0323653318814204	undirected	ARHGAP29	DPP10
ARHGAP29	GATC	0.0222469394725671	undirected	ARHGAP29	GATC
ARHGAP29	GDA	0.0966197989308991	undirected	ARHGAP29	GDA
ARHGAP29	GOLM1	0.0818213976443882	undirected	ARHGAP29	GOLM1
ARHGAP29	GPR37L1	0.0292377408627006	undirected	ARHGAP29	GPR37L1
ARHGAP29	HHCM	0.232061466868324	undirected	ARHGAP29	NA
ARHGAP29	IL17D	0.0362809336682314	undirected	ARHGAP29	IL17D
ARHGAP29	KRT17P5	0.109206832112543	undirected	ARHGAP29	NA
